SeqNo,Date,UTC Time,Time,IOvector
487,1/17/2019,12:04.0, 000:05:08.943,4194986
488,1/17/2019,12:04.3, 000:05:09.276,4211370
489,1/17/2019,12:05.3, 000:05:10.292,4194986
490,1/17/2019,12:05.8, 000:05:10.777,74410
491,1/17/2019,12:05.9, 000:05:10.860,74282
492,1/17/2019,12:06.1, 000:05:11.029,66090
493,1/17/2019,12:06.2, 000:05:11.120,618
494,1/17/2019,12:06.2, 000:05:11.176,554
495,1/17/2019,12:06.5, 000:05:11.411,682
496,1/17/2019,12:07.5, 000:05:12.413,1049258
497,1/17/2019,12:07.5, 000:05:12.477,1049250
498,1/17/2019,12:07.8, 000:05:12.742,2097830
499,1/17/2019,12:07.9, 000:05:12.858,2097826
500,1/17/2019,12:08.2, 000:05:13.139,4194986
501,1/17/2019,12:10.9, 000:05:15.877,4196010
502,1/17/2019,12:12.0, 000:05:16.945,4194986
503,1/17/2019,12:12.2, 000:05:17.182,148138
504,1/17/2019,12:12.3, 000:05:17.224,147626
505,1/17/2019,12:12.5, 000:05:17.406,131242
506,1/17/2019,12:12.6, 000:05:17.502,426
507,1/17/2019,12:12.6, 000:05:17.561,170
508,1/17/2019,12:12.9, 000:05:17.804,682
